perusahaan,Recency,Frequency,Monetary,IF_Label,IF_Score,Is_Outlier,Recency_Scaled,Frequency_Scaled,Monetary_Scaled
PT. Titani Alam Semesta,439,2,13597500,1,0.1822819267751364,0,0.6100278551532033,0.03225806451612903,0.030238203606950665
PT. Toyobo Trias Ecosyar,526,7,25947340,1,0.0681459011876528,0,0.7311977715877438,0.1935483870967742,0.058065309355373795
PT. Tri Jaya Tissue,702,2,25100000,1,0.0854242237237641,0,0.9763231197771588,0.03225806451612903,0.05615605224881461
PT. Trias Toyobo Astria,22,32,174794016,1,0.0537564465767879,0,0.02924791086350975,1.0,0.39345201828061294
PT. Tripper Nature,60,4,29660800,1,0.1912178159758329,0,0.08217270194986072,0.0967741935483871,0.06643261161293659
PT. Triteguh Manunggal,263,3,13764000,1,0.2298963199313503,0,0.36490250696378834,0.06451612903225806,0.030613367423414074
PT. Unimos,161,6,7525800,1,0.2053700729485422,0,0.22284122562674094,0.16129032258064516,0.016557229766585062
PT. Unitech Engineering,132,3,6769810,1,0.2388715105050524,0,0.18245125348189414,0.06451612903225806,0.014853805780950398
PT. United Chemicals,134,1,11988000,1,0.24027340014708,0,0.18523676880222842,0.0,0.02661162004780439
PT. United Waru Biscuit,2,7,55408750,1,0.1105960663489679,0,0.001392757660167131,0.1935483870967742,0.12444882295293058
PT. Wiharta Karya,334,1,6542999,1,0.2293442808057763,0,0.46378830083565464,0.0,0.014342747039954109
PT. Winaros Kawula,1,17,77279300,1,0.127057019461358,0,0.0,0.5161290322580645,0.17372833650340377
